,0,mean,std,min,max,median,mode,q1,q2,q3
"phi_('Water_node_25', 'Water', 'Water')",25.743,25.743,0.0,25.743,25.743,25.743,25.743,25.743,25.743,25.743
"alpha_('Water_node_26', 'Water', 'Water')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Water_node_26', 'Water', 'Water')",31.052,31.052,0.0,31.052,31.052,31.052,31.052,31.052,31.052,31.052
"alpha_('Water_node_27', 'Water', 'Water')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Water_node_27', 'Water', 'Water')",64.456,64.456,0.0,64.456,64.456,64.456,64.456,64.456,64.456,64.456
"alpha_('Water_node_28', 'Water', 'Water')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Water_node_28', 'Water', 'Water')",44.205,44.205,0.0,44.205,44.205,44.205,44.205,44.205,44.205,44.205
"alpha_('Water_node_29', 'Water', 'Water')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Water_node_29', 'Water', 'Water')",40.688,40.688,0.0,40.688,40.688,40.688,40.688,40.688,40.688,40.688
"alpha_('Water_node_30', 'Water', 'Water')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Water_node_30', 'Water', 'Water')",94.542,94.542,0.0,94.542,94.542,94.542,94.542,94.542,94.542,94.542
"alpha_('Water_node_31', 'Water', 'Water')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Water_node_31', 'Water', 'Water')",15.775,15.775,0.0,15.775,15.775,15.775,15.775,15.775,15.775,15.775
"alpha_('Water_node_32', 'Water', 'Water')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Water_node_32', 'Water', 'Water')",18.855,18.855,0.0,18.855,18.855,18.855,18.855,18.855,18.855,18.855
"alpha_('Water_node_33', 'Water', 'Water')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Water_node_33', 'Water', 'Water')",38.4,38.4,0.0,38.4,38.4,38.4,38.4,38.4,38.4,38.4
"alpha_('Water_node_34', 'Water', 'Water')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Water_node_34', 'Water', 'Water')",100.63199999999999,100.63199999999999,0.0,100.63199999999999,100.63199999999999,100.63199999999999,100.63199999999999,100.63199999999999,100.63199999999999,100.63199999999999
"alpha_('Water_node_35', 'Water', 'Water')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Water_node_35', 'Water', 'Water')",21.835999999999995,21.835999999999995,0.0,21.835999999999995,21.835999999999995,21.835999999999995,21.835999999999995,21.835999999999995,21.835999999999995,21.835999999999995
"alpha_('Water_node_36', 'Water', 'Water')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Water_node_36', 'Water', 'Water')",4.787,4.787,0.0,4.787,4.787,4.787,4.787,4.787,4.787,4.787
"alpha_('Water_node_37', 'Water', 'Water')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Water_node_37', 'Water', 'Water')",0.503,0.503,0.0,0.503,0.503,0.503,0.503,0.503,0.503,0.503
"alpha_('Water_node_38', 'Water', 'Water')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Water_node_38', 'Water', 'Water')",18.15,18.15,0.0,18.15,18.15,18.15,18.15,18.15,18.15,18.15
"alpha_('Water_node_39', 'Water', 'Water')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Water_node_39', 'Water', 'Water')",8.237,8.237,0.0,8.237,8.237,8.237,8.237,8.237,8.237,8.237
"alpha_('Water_node_40', 'Water', 'Water')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Water_node_40', 'Water', 'Water')",1.483,1.483,0.0,1.483,1.483,1.483,1.483,1.483,1.483,1.483
"alpha_('Water_node_41', 'Water', 'Water')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Water_node_41', 'Water', 'Water')",4.046,4.046,0.0,4.046,4.046,4.046,4.046,4.046,4.046,4.046
"alpha_('Water_node_42', 'Water', 'Water')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Water_node_42', 'Water', 'Water')",2.958,2.958,0.0,2.958,2.958,2.958,2.958,2.958,2.958,2.958
"alpha_('Water_node_43', 'Water', 'Water')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Water_node_43', 'Water', 'Water')",7.225,7.225,0.0,7.225,7.225,7.225,7.225,7.225,7.225,7.225
"alpha_('Water_node_44', 'Water', 'Water')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Water_node_44', 'Water', 'Water')",0.422,0.422,0.0,0.422,0.422,0.422,0.422,0.422,0.422,0.422
"alpha_('Water_node_45', 'Water', 'Water')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Water_node_45', 'Water', 'Water')",1.738,1.738,0.0,1.738,1.738,1.738,1.738,1.738,1.738,1.738
"alpha_('Water_node_46', 'Water', 'Water')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Water_node_46', 'Water', 'Water')",0.985,0.985,0.0,0.985,0.985,0.985,0.985,0.985,0.985,0.985
"alpha_('Water_node_47', 'Water', 'Water')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Water_node_47', 'Water', 'Water')",1.408,1.408,0.0,1.408,1.408,1.408,1.408,1.408,1.408,1.408
"alpha_('Water_node_48', 'Water', 'Water')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Water_node_48', 'Water', 'Water')",2.295,2.295,0.0,2.295,2.295,2.295,2.295,2.295,2.295,2.295
