,0,mean,std,min,max,median,mode,q1,q2,q3
"alpha_('Power_node_42', 'Power', 'Power')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Power_node_42', 'Power', 'Power')",0.201951604,0.201951604,0.0,0.201951604,0.201951604,0.201951604,0.201951604,0.201951604,0.201951604,0.201951604
"alpha_('Power_node_43', 'Power', 'Power')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Power_node_43', 'Power', 'Power')",2.773539927,2.773539927,0.0,2.773539927,2.773539927,2.773539927,2.773539927,2.773539927,2.773539927,2.773539927
"alpha_('Power_node_44', 'Power', 'Power')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Power_node_44', 'Power', 'Power')",4.515513246,4.515513246,0.0,4.515513246,4.515513246,4.515513246,4.515513246,4.515513246,4.515513246,4.515513246
"alpha_('Power_node_45', 'Power', 'Power')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Power_node_45', 'Power', 'Power')",14.00000000009999,14.00000000009999,0.0,14.00000000009999,14.00000000009999,14.00000000009999,14.00000000009999,14.00000000009999,14.00000000009999,14.00000000009999
"alpha_('Power_node_46', 'Power', 'Power')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Power_node_46', 'Power', 'Power')",14.0,14.0,0.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
"alpha_('Power_node_47', 'Power', 'Power')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Power_node_47', 'Power', 'Power')",14.0,14.0,0.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
"alpha_('Power_node_48', 'Power', 'Power')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Power_node_48', 'Power', 'Power')",14.0,14.0,0.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
"alpha_('Power_node_49', 'Power', 'Power')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Power_node_49', 'Power', 'Power')",13.900000000099936,13.900000000099936,0.0,13.900000000099936,13.900000000099936,13.900000000099936,13.900000000099936,13.900000000099936,13.900000000099936,13.900000000099936
"alpha_('Power_node_50', 'Power', 'Power')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Power_node_50', 'Power', 'Power')",14.000000000491461,14.000000000491461,0.0,14.000000000491461,14.000000000491461,14.000000000491461,14.000000000491461,14.000000000491461,14.000000000491461,14.000000000491461
"alpha_('Water_node_15', 'Water', 'Water')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Water_node_15', 'Water', 'Water')",23.500000001056524,23.500000001056524,0.0,23.500000001056524,23.500000001056524,23.500000001056524,23.500000001056524,23.500000001056524,23.500000001056524,23.500000001056524
"alpha_('Water_node_16', 'Water', 'Water')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Water_node_16', 'Water', 'Water')",23.500000000099977,23.500000000099977,0.0,23.500000000099977,23.500000000099977,23.500000000099977,23.500000000099977,23.500000000099977,23.500000000099977,23.500000000099977
"alpha_('Water_node_17', 'Water', 'Water')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Water_node_17', 'Water', 'Water')",23.600000001642247,23.600000001642247,0.0,23.600000001642247,23.600000001642247,23.600000001642247,23.600000001642247,23.600000001642247,23.600000001642247,23.600000001642247
"alpha_('Water_node_18', 'Water', 'Water')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Water_node_18', 'Water', 'Water')",23.187,23.187,0.0,23.187,23.187,23.187,23.187,23.187,23.187,23.187
"alpha_('Water_node_19', 'Water', 'Water')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Water_node_19', 'Water', 'Water')",23.50000000373589,23.50000000373589,0.0,23.50000000373589,23.50000000373589,23.50000000373589,23.50000000373589,23.50000000373589,23.50000000373589,23.50000000373589
"alpha_('Water_node_20', 'Water', 'Water')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Water_node_20', 'Water', 'Water')",7.493,7.493,0.0,7.493,7.493,7.493,7.493,7.493,7.493,7.493
"alpha_('Water_node_21', 'Water', 'Water')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Water_node_21', 'Water', 'Water')",14.845,14.845,0.0,14.845,14.845,14.845,14.845,14.845,14.845,14.845
"alpha_('Water_node_22', 'Water', 'Water')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Water_node_22', 'Water', 'Water')",23.60000000105652,23.60000000105652,0.0,23.60000000105652,23.60000000105652,23.60000000105652,23.60000000105652,23.60000000105652,23.60000000105652,23.60000000105652
"alpha_('Water_node_23', 'Water', 'Water')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Water_node_23', 'Water', 'Water')",23.465,23.465,0.0,23.465,23.465,23.465,23.465,23.465,23.465,23.465
"alpha_('Water_node_24', 'Water', 'Water')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Water_node_24', 'Water', 'Water')",23.500000000100002,23.500000000100002,0.0,23.500000000100002,23.500000000100002,23.500000000100002,23.500000000100002,23.500000000100002,23.500000000100002,23.500000000100002
